#,tlcid,username,name,country,Day 1,Day 2,total,medal
1,,,Ahmad Zaky (Institut Teknologi Bandung),IDN,200,400,600,G
1,,,Yuta Takaya,JPN,300,300,600,G
3,,,Ilya Kaysin,RUS,202,220,422,S
4,,,Tjandra Satria Gunawan (Universitas Indonesia),IDN,149,100,249,B
5,,,SAEFUL RAMADHAN (sman 2 kota serang),IDN,153,58,211,
6,,,kwee lung sin (SMA Karangturi Semarang),IDN,153,19,172,
7,,,Krisna Attayendra (SMA Sragen-BBS),IDN,126,24,150,
8,,,Irham Mualimin Arrijal (Universitas Bengkulu),IDN,118,19,137,
9,,,Rian Adam Rajagede (Universitas Gadjah Mada),IDN,39,86,125,
10,,,Eric (Institut Teknologi Bandung),IDN,100,0,100,
10,,,ACHMAD JEIHAN PAHLEVI (UGM),IDN,0,100,100,
10,,,Joshua Casey Darian Gunawan (Universitas Indonesia),IDN,100,0,100,
13,,,Muhammad Zaky Khairuddin (Universitas Indonesia),IDN,84,14,98,
14,,,Andrew Wijaya (SMA Swasta Methodist - 2 Medan),IDN,94,0,94,
14,,,Christian (SMA Swasta Mehodist-2 Medan),IDN,94,0,94,
14,,,Christzen Leonardy (SMA SWASTA METHODIST-2 MEDAN),IDN,94,0,94,
14,,,Gavin Vivaldy (SMA Swasta Methodist-2 Medan),IDN,94,0,94,
14,,,Jansen (SMA Swasta Methodist-2 Medan),IDN,94,0,94,
19,,,Tirta Abimanyu Purnomo (sman 1 bogor),IDN,92,0,92,
19,,,Luqman Arifin (Institut Teknologi Bandung),IDN,8,84,92,
21,,,Gibran Sansadewa Asshadiqi (SMAN 2 Bekasi),IDN,66,0,66,
22,,,Albertus Angga Raharja (SMA Katolik Santo Paulus Jember),IDN,18,24,42,
22,,,Vincentius Chandra (SMA Katolik Santo Paulus Jember),IDN,18,24,42,
24,,,Timotius Florean (Telkom University),IDN,39,0,39,
25,,,Albertus Tommy Halim Putra (SMAK Santo Paulus Jember),IDN,11,24,35,
26,,,Ananda Ramadhan Umamil (SMAN Titian Teras H Abdurrahman Sayoeti),IDN,7,0,7,
27,,,Wisdom Eyram dALMEIDA,TGO,0,6,6,
28,,,Ahmad Fahmi Pratama (MAN Insan Cendekia Serpong),IDN,0,0,0,
28,,,Audric Ferrell Rachmadi (SMAN 2 Bekasi),IDN,0,0,0,
28,,,Dila Syafrina Bangko (SMAN 1 Kutacane),IDN,0,0,0,
28,,,Endrawan Andika Wicaksana (SMAN 3 Semarang),IDN,0,0,0,
28,,,ikraduya edian (SMAN 1 Kota Jambi),IDN,0,0,0,
28,,,Miftahul Jannah B (SMAN 1 Kutacane),IDN,0,0,0,
28,,,Muhammad Ridwan Fathin (SMAN 1 Garut),IDN,0,0,0,
28,,,Nofita Sari (SMAN 1 Kutacane),IDN,0,0,0,
28,,,Putri Maulidar Magfirah (SMAN 1 Kutacane),IDN,0,0,0,
28,,,Rahma Tini (SMAN 1 Kutacane),IDN,0,0,0,
28,,,Rahmad Kurniawan (SMK Tritech Informatika),IDN,0,0,0,
28,,,Stefanus Julianto (sman 2 bekasi),IDN,0,0,0,
28,,,Thomas Ariyanto (SMAN 2 Bekasi),IDN,0,0,0,
28,,,vincent fango (SMA Sutomo 1),IDN,0,0,0,
28,,,A Akbar Ghafari A (SMAN Titian Teras H Abdurrahman Sayoeti),IDN,0,0,0,
28,,,Felix (SMA Methodist-2 Medan),IDN,0,0,0,
28,,,M Agung Pratama (SMAN Titian Teras H Abdurrahman Sayoeti),IDN,0,0,0,
28,,,M Dedy Supryadi (SMAN Titian Teras H Abdurrahman Sayoeti),IDN,0,0,0,
28,,,Nabil Ahmad (SMAN Titian Teras H Abdurrahman Sayoeti),IDN,0,0,0,
28,,,Dicky nur krisnha (sma negeri 2 bekasi),IDN,0,0,0,
28,,,Hendron maju marbun (sma negeri 2 bekasi),IDN,0,0,0,
28,,,Michael Julianto (Bina Sarana Informatika),IDN,0,0,0,
28,,,Afrizal Fikri (Institut Teknologi Bandung),IDN,0,0,0,
28,,,Genta Indra Winata (INSTITUT TEKNOLOGI BANDUNG),IDN,0,0,0,
28,,,Mochammad Dikra Prasetya (Institut Teknologi Bandung),IDN,0,0,0,
28,,,Rahman Adianto (Institut Teknologi Bandung),IDN,0,0,0,
28,,,Willy (Institut Teknologi Bandung),IDN,0,0,0,
28,,,Wiwit Rifai (Institut Teknologi Bandung),IDN,0,0,0,
28,,,Kristopel Martin (Institut Teknologi DEL),IDN,0,0,0,
28,,,Silfia Rahmawati (Institut Teknologi Sepuluh Nopember),IDN,0,0,0,
28,,,James Jaya (ITB),IDN,0,0,0,
28,,,Ryan Ignatius Hadiwijaya (ITB),IDN,0,0,0,
28,,,Luke Manuel Daely (Telkom University),IDN,0,0,0,
28,,,Afif Izzul Falakh (UGM),IDN,0,0,0,
28,,,Carfin (UGM),IDN,0,0,0,
28,,,Dzikri Rahadian Fudholi (UGM),IDN,0,0,0,
28,,,Tri Yunianta (UGM),IDN,0,0,0,
28,,,Muhammad Iqbal Zulkarnaen Nurachmady (Universitas Gadjah Mada),IDN,0,0,0,
28,,,Muhammad Ridwan Apriansyah B (Universitas Gadjah Mada),IDN,0,0,0,
28,,,Rya Meyvriska (Universitas Gadjah Mada),IDN,0,0,0,
28,,,Zetra (Universitas Gadjah Mada),IDN,0,0,0,
28,,,Dennis Pratama Kamah (Universitas Indonesia),IDN,0,0,0,
28,,,Agung Julian Perkasa (UNSRI),IDN,0,0,0,
28,,,Bernard (no affiliation),IDN,0,0,0,
28,,,Jessica Handojo (no affiliation),IDN,0,0,0,
28,,,Mei Rusfandi (no affiliation),IDN,0,0,0,
28,,,Muhammad Valdie Arsanur (no affiliation),IDN,0,0,0,
28,,,Nergi Rahardi (no affiliation),IDN,0,0,0,
28,,,Mikhail Yutman,RUS,0,0,0,
28,,,Tarigradschi Mihail,MDA,0,0,0,
28,,,Ali Bahjati,IRN,0,0,0,
28,,,Amir Keivan Mohtashami,IRN,0,0,0,
28,,,Amirmohammad Dehghan,IRN,0,0,0,
28,,,Farbod Yadegarian,IRN,0,0,0,
28,,,Marton Erdos,HUN,0,0,0,
28,,,Beregoi Constantin,MDA,0,0,0,
28,,,andresvargas,BOL,0,0,0,
28,,,Peyman Jabarzade Ganje,IRN,0,0,0,
28,,,Diana Marusic,MDA,0,0,0,
28,,,Piyush Kumar Agarwal,IND,0,0,0,
28,,,Balan Denis,MDA,0,0,0,
28,,,Sayed Mohamad Amin Khodaie,IRN,0,0,0,
28,,,Havard Terland,NOR,0,0,0,
28,,,Shayan Hosseini,IRN,0,0,0,
28,,,Kohji LIU,JPN,0,0,0,
28,,,BortaAlexandru,MDA,0,0,0,
28,,,Robin Visser,ZAF,0,0,0,
28,,,Matthew Tan,PHL,0,0,0,
28,,,Damika Nipun Gamlath,LKA,0,0,0,
