#,tlcid,TLC Username,name,country,1A,1B,1C,2A,2B,2C,total,medal
1,,jonathanirvings,jonathanirvings (alumni),IDN,100,100,100,100,35,76,511,G
2,,Deemo,Deemo,,75,100,100,100,14,100,489,G
3,,tjandra,tjandra (public),IDN,100,100,100,100,47,7,454,G
4,,Nurbakhyt,Nurbakhyt,,25,100,100,100,47,76,448,G
5,,stacia,stacia (student),IDN,59,100,100,100,32,42,433,G
6,,uptimist,uptimist (public),IDN,25,100,100,100,32,59,416,G
7,,codebie,codebie (student),IDN,52,100,100,100,4,59,415,G
8,,kadalbonek,kadalbonek (public),IDN,59,100,100,100,,15,374,S
9,,rubabredwan,rubabredwan,,17,57,54,100,47,59,334,S
10,,kyonrevens,kyonrevens (public),IDN,25,100,69,72,8,59,333,S
11,,iafir,iafir (public),IDN,75,100,100,,,,275,B
12,,peinneon,peinneon (alumni),IDN,25,100,100,,,,225,
13,,DigiM,DigiM (student),IDN,17,100,100,,,,217,
14,,coderbodoh,coderbodoh (alumni),IDN,,100,100,15,,,215,
15,,gflyingcat,gflyingcat (public),IDN,8,100,100,,,,208,
16,,sergiovieri,sergiovieri (student),IDN,,,,100,27,76,203,
17,,yusufsholeh,yusufsholeh (student),IDN,,100,100,,,,200,
17,,usama,usama (student),IDN,,100,100,,,,200,
17,,fersandi,fersandi (public),IDN,0,100,100,,,,200,
17,,wirabdillah,wirabdillah (alumni),IDN,,100,100,,,,200,
17,,apakaden,apakaden (alumni),IDN,,100,100,,,,200,
17,,SmallBoy,SmallBoy,,,100,100,,,,200,
23,,rudylee,rudylee (student),IDN,8,78,6,54,0,15,161,
24,,Vladik,Vladik,,,,,100,,59,159,
25,,maxhaibara,maxhaibara (alumni),IDN,,78,,72,,,150,
26,,hajarbleh,hajarbleh (public),IDN,17,15,100,,,,132,
26,,sokokaleb,sokokaleb (alumni),IDN,,,,100,32,,132,
28,,matematikaadit,matematikaadit (public),IDN,25,100,6,,,,131,
29,,ruhanhabib39,ruhanhabib39,,,,,100,,7,107,
30,,haha,haha (public),IDN,,,,100,1,,101,
31,,nathanchrs,nathanchrs (alumni),IDN,,100,,,,,100,
31,,shdut,shdut,,,,,100,,0,100,
33,,yu_andytx,yu_andytx (public),IDN,17,78,,,,,95,
34,,FaustaAD,FaustaAD (student),IDN,25,0,6,15,14,0,60,
34,,vale979,vale979 (student),IDN,25,8,6,15,6,0,60,
36,,ryoarmanda,ryoarmanda (student),IDN,25,7,6,,6,15,59,
37,,croodcash,croodcash (student),IDN,25,0,14,15,,,54,
38,,chrizt99,chrizt99 (student),IDN,0,,,,32,,32,
39,,groawr,groawr (public),IDN,,0,31,,,,31,
40,,will4ndrea,will4ndrea (student),IDN,17,0,0,6,,7,30,
40,,ivander_galvani,ivander_galvani (student),IDN,17,,0,6,,7,30,
40,,flamealchemist7,flamealchemist7 (public),IDN,17,,,6,7,,30,
43,,KnightSaber77,KnightSaber77 (alumni),IDN,25,,,,,,25,
44,,ifkarsyah,ifkarsyah (student),IDN,17,,,,,,17,
44,,RyeBourbon,RyeBourbon (student),IDN,17,,,,0,,17,
44,,andidmk,andidmk (public),IDN,17,,0,,,,17,
47,,plains4,plains4 (public),IDN,9,7,,,,,16,
